uf,total_cpf_prof,populacao,cpf_prof_por_10000
MS,20029,2809394,71.292954993141
SC,73379,7252502,101.177497089970
ES,26895,4064052,66.177794969159
PR,105244,11516840,91.382705672737
SE,13374,2318822,57.675837127645
MA,15641,7114598,21.984376348460
AL,15630,3351543,46.635236367249
MT,19008,3526220,53.904747860315
MG,202773,21292666,95.231381547055
RR,1840,631181,29.151701334483
TO,6009,1590248,37.786559077578
AP,2227,861773,25.842072100193
RO,7906,1796460,44.008772808746
RS,97957,11422973,85.754382856372
GO,39261,7113540,55.191929756493
AC,2685,894470,30.017775889633
PI,10215,3281480,31.129246559479
RJ,105021,17366189,60.474408058095
SP,401879,46289333,86.818922190994
DF,28223,3055149,92.378473193942
CE,38462,9187103,41.865210393309
PB,17097,4039277,42.326881766217
PA,21590,8690745,24.842519254678
RN,19933,3534165,56.400875454315
BA,69790,14930634,46.742824182818
AM,15917,4207714,37.828141361319
PE,42622,9616621,44.321181005262
